# alpha	MC_lin	MC_nl	MC_total
0.100000	2.879943	2.173556	5.053499
0.150000	2.807043	2.141013	4.948056
0.200000	2.773655	2.371723	5.145378
0.250000	2.652215	2.150385	4.802600
0.300000	2.708471	2.424813	5.133284
0.350000	2.625880	2.190941	4.816821
0.400000	2.662633	2.241682	4.904315
0.450000	2.672639	2.135234	4.807873
0.500000	2.564988	2.196553	4.761540
0.550000	3.110552	2.046054	5.156606
0.600000	2.825256	2.209326	5.034582
0.650000	2.533709	2.134673	4.668382
0.700000	2.665289	2.162212	4.827501
0.750000	2.946963	2.101270	5.048233
0.800000	2.587392	2.084430	4.671822
0.850000	2.885645	1.998323	4.883968
0.900000	2.746036	1.971519	4.717555
0.950000	2.652398	2.068182	4.720579
1.000000	2.557370	1.815106	4.372476
