# alpha	MC_lin	MC_nl	MC_total
0.100000	2.962261	2.588442	5.550703
0.150000	3.423255	2.407928	5.831183
0.200000	3.299647	2.131974	5.431621
0.250000	2.900970	2.078335	4.979305
0.300000	2.598115	1.870539	4.468653
0.350000	2.167125	1.544670	3.711796
0.400000	1.794814	1.328619	3.123433
0.450000	1.472746	1.008915	2.481661
0.500000	1.246410	0.809574	2.055984
0.550000	1.149442	0.694672	1.844113
0.600000	0.957748	0.553751	1.511498
0.650000	0.873979	0.501513	1.375492
0.700000	0.762948	0.402603	1.165551
0.750000	0.761910	0.316355	1.078265
0.800000	0.654857	0.265201	0.920058
0.850000	0.635081	0.246759	0.881839
0.900000	0.607998	0.161516	0.769514
0.950000	0.580364	0.173159	0.753523
1.000000	0.538967	0.112102	0.651069
