# alpha	MC_lin	MC_nl	MC_total
0.100000	0.019105	0.105347	0.124452
0.150000	0.015837	0.016086	0.031923
0.200000	0.011687	0.008113	0.019800
0.250000	0.007072	0.007621	0.014693
0.300000	0.008870	0.004642	0.013512
0.350000	0.006515	0.004202	0.010717
0.400000	0.042302	0.014690	0.056992
0.450000	0.067353	0.027101	0.094454
0.500000	0.123272	0.038900	0.162172
0.550000	0.194636	0.046417	0.241052
0.600000	0.255042	0.071412	0.326454
0.650000	0.293722	0.062411	0.356133
0.700000	0.343496	0.059115	0.402611
0.750000	0.435468	0.054765	0.490233
0.800000	0.465557	0.055969	0.521526
0.850000	0.500252	0.051129	0.551381
0.900000	0.573783	0.044947	0.618729
0.950000	0.650246	0.035034	0.685280
1.000000	0.644946	0.025304	0.670249
