# Timestep Input_Signal Reservoir_Output
0 0.141785 0.019218
1 0.148585 0.037765
2 0.154943 0.055657
3 0.160887 0.072910
4 0.166446 0.089540
5 0.171643 0.105562
6 0.176502 0.120994
7 0.182252 0.135898
8 0.188757 0.150332
9 0.195895 0.164342
10 0.203554 0.177971
11 0.211639 0.191254
12 0.220060 0.204220
13 0.228741 0.216897
14 0.237611 0.229305
15 0.246609 0.241462
16 0.255999 0.253397
17 0.265692 0.265132
18 0.275761 0.276693
19 0.286259 0.288103
20 0.297223 0.299390
21 0.308673 0.310579
22 0.320615 0.321693
23 0.333048 0.332756
24 0.345958 0.343790
25 0.359328 0.354813
26 0.373131 0.365844
27 0.387420 0.376902
28 0.402225 0.388005
29 0.417583 0.399173
30 0.433529 0.410427
31 0.450097 0.421786
32 0.467319 0.433273
33 0.485223 0.444906
34 0.503832 0.456708
35 0.523163 0.468697
36 0.543238 0.480896
37 0.564068 0.493323
38 0.585672 0.505998
39 0.608069 0.518940
40 0.631279 0.532168
41 0.655315 0.545701
42 0.680188 0.559558
43 0.705890 0.573754
44 0.732400 0.588306
45 0.759664 0.603227
46 0.787594 0.618523
47 0.816059 0.634199
48 0.844878 0.650250
49 0.873822 0.666662
50 0.902631 0.683412
51 0.931034 0.700468
52 0.958776 0.717789
53 0.985635 0.735326
54 1.011414 0.753026
55 1.035907 0.770831
56 1.058843 0.788674
57 1.079836 0.806475
58 1.098342 0.824139
59 1.113673 0.841547
60 1.125053 0.858553
61 1.131746 0.874994
62 1.133208 0.890688
63 1.129220 0.905458
64 1.119947 0.919138
65 1.105903 0.931593
66 1.087858 0.942725
67 1.066723 0.952476
68 1.043435 0.960828
69 1.018890 0.967799
70 0.993898 0.973441
71 0.969183 0.977828
72 0.945407 0.981059
73 0.923204 0.983253
74 0.903221 0.984548
75 0.886137 0.985104
76 0.872666 0.985099
77 0.863523 0.984733
78 0.859340 0.984218
79 0.860559 0.983777
80 0.867304 0.983625
81 0.879289 0.983955
82 0.895804 0.984922
83 0.915794 0.986634
84 0.938028 0.989142
85 0.961300 0.992450
86 0.984610 0.996518
87 1.007250 1.001284
88 1.028791 0.935660
89 1.048979 0.944413
90 1.067598 0.992865
91 1.084330 0.949001
92 1.098663 0.980997
93 1.109890 1.010363
94 1.117201 1.049376
95 1.119886 1.068387
96 1.117544 1.077572
97 1.110206 1.082452
98 1.098321 1.097843
99 1.082626 0.967173
100 1.063979 1.074558
101 1.043234 1.076933
102 1.021167 0.959814
103 0.998473 0.966027
104 0.975789 0.971038
105 0.953751 0.974931
106 0.933015 0.977813
107 0.914267 0.979812
108 0.898199 0.981077
109 0.885485 0.981777
110 0.876743 0.982096
111 0.872486 0.982231
112 0.873057 0.982382
113 0.878561 0.982744
114 0.888799 0.983493
115 0.903243 0.984778
116 0.921063 0.986705
117 0.941232 0.989337
118 0.962680 0.992689
119 0.984453 0.996740
120 1.005814 1.001438
121 1.026259 1.006716
122 1.045454 1.012496
123 1.063125 1.018693
124 1.078940 1.025214
125 1.092435 1.031950
126 1.102989 1.038774
127 1.109903 1.045539
128 1.112552 1.052078
129 1.110561 1.058218
130 1.103921 1.092275
131 1.092997 1.139274
132 1.078426 1.069903
133 1.060988 1.005062
134 1.041481 1.110546
135 1.020654 1.105898
136 0.999183 0.962702
137 0.977694 0.967951
138 0.956801 0.972116
139 0.937135 0.975299
140 0.919346 0.977622
141 0.904098 0.979227
142 0.892031 0.980276
143 0.883730 0.980946
144 0.879675 0.981422
145 0.880183 0.981895
146 0.885340 0.982548
147 0.894959 0.983551
148 0.908554 0.985043
149 0.925369 0.987128
150 0.944469 0.989867
151 0.964872 0.993281
152 0.985684 0.997351
153 1.006189 0.949642
154 1.025874 0.930100
155 1.044369 0.947414
156 1.061367 0.995321
157 1.076517 0.988384
158 1.089360 1.029531
159 1.099315 1.033779
160 1.105745 1.040623
161 1.108088 1.062193
162 1.106012 1.096665
163 1.099516 1.100188
164 1.088934 1.100455
165 1.074859 1.116253
166 1.058021 1.117175
167 1.039181 0.988506
168 1.019062 0.994131
169 0.998328 0.998660
170 0.977596 1.002147
171 0.957471 1.004667
172 0.938567 1.006315
173 0.921515 1.007208
174 0.906954 1.007480
175 0.895500 1.007285
176 0.887711 1.006792
177 0.884039 1.006177
178 0.884774 1.005621
179 0.889982 1.005299
180 0.899466 1.005368
181 0.912748 1.005959
182 0.929102 1.007169
183 0.947640 1.009054
184 0.967432 1.011631
185 0.987629 1.014881
186 1.007544 1.018761
187 1.026668 0.953607
188 1.044624 1.058031
189 1.061084 0.966595
190 1.075683 1.009791
191 1.087961 1.017141
192 1.097354 1.024466
193 1.103263 1.129626
194 1.105175 1.015017
