# Timestep Input_Signal Reservoir_Output
0 0.000000 0.000000
1 0.309017 0.140150
2 0.587785 0.364830
3 0.809017 0.406053
4 0.951057 0.415787
5 1.000000 0.704620
6 0.951057 0.434993
7 0.809017 0.582351
8 0.587785 0.640202
9 0.309017 0.223582
10 0.000000 0.277779
11 -0.309017 0.124397
12 -0.587785 -0.115182
13 -0.809017 -0.402380
14 -0.951057 -0.701471
15 -1.000000 -0.978058
16 -0.951057 -1.201189
17 -0.809017 -0.737604
18 -0.587785 -0.269044
19 -0.309017 -0.415370
20 -0.000000 -0.370677
21 0.309017 -0.207875
22 0.587785 0.036159
23 0.809017 0.326925
24 0.951057 0.629309
25 1.000000 0.909023
26 0.951057 0.933107
27 0.809017 0.569218
28 0.587785 0.072742
29 0.309017 0.458052
30 0.000000 0.411697
31 -0.309017 0.244410
32 -0.587785 -0.003685
33 -0.809017 -0.297851
34 -0.951057 -0.603065
35 -1.000000 -0.885155
36 -0.951057 -0.187886
37 -0.809017 -0.154462
38 -0.587785 -0.491376
39 -0.309017 -0.551095
40 -0.000000 -0.473947
41 0.309017 -0.292754
42 0.587785 -0.036487
43 0.809017 0.263159
44 0.951057 0.572356
45 1.000000 0.857501
46 0.951057 0.744577
47 0.809017 1.303258
48 0.587785 0.674269
49 0.309017 0.713265
